name;model;price;country;mileage;registration;transmission;power;fueltype;Automat;Benzín;CNG;Diesel;Elektřina;Hybrid;LPG;Ostatní paliva
Skoda Karoq 1.5 TSI ACT DSG 110 kW;Karoq;773490;Německo;9912;2021;Automat;110;Benzín;1;1;0;0;0;0;0;0
Skoda Enyaq iV 60 Sportline 132 kW;Enyaq iV;1132490;Francie;1000;2021;Automat;132;Elektřina;1;0;0;0;1;0;0;0
Skoda Scala 110 kW;Scala;649990;Německo;17233;2020;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Superb 147 kW;Superb;1087990;Německo;20544;2021;Automat;147;Diesel;1;0;0;1;0;0;0;0
Skoda Scala 110 kW;Scala;598490;Německo;8806;2020;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Superb 2.0 TSI 4x4 DSG L&K 200 kW;Superb;963990;Německo;2482;2020;Automat;200;Benzín;1;1;0;0;0;0;0;0
Skoda Kamiq 1.6 TDI Ambition 85 kW;Kamiq;592990;Španělsko;23999;2020;Manuál;85;Diesel;0;0;0;1;0;0;0;0
Skoda Superb 147 kW;Superb;1035990;Německo;495;2021;Automat;147;Diesel;1;0;0;1;0;0;0;0
Skoda Kamiq 1.0 TSI Active 85 kW;Kamiq;471490;Německo;1882;2021;Manuál;85;Benzín;0;1;0;0;0;0;0;0
Skoda Kamiq 1.5 TSI DSG Style 110 kW;Kamiq;608990;Švédsko;14500;2020;Automat;110;Benzín;1;1;0;0;0;0;0;0
Skoda Scala 1.5 TSI DSG Style 110 kW;Scala;542490;Slovensko;25401;2019;Automat;110;Benzín;1;1;0;0;0;0;0;0
Skoda Kodiaq 2.0 4x4 DSG RS 176 kW;Kodiaq;1220990;Německo;22600;2020;Automat;176;Diesel;1;0;0;1;0;0;0;0
Skoda Octavia 150 kW;Octavia;804990;Itálie;2853;2021;Automat;150;Ostatní paliva;1;0;0;0;0;0;0;1
Skoda Rapid 1.6 TDI DSG 66 kW;Rapid;221990;Německo;132450;2014;Automat;66;Diesel;1;0;0;1;0;0;0;0
Skoda Scala 110 kW;Scala;649990;Německo;14810;2020;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Superb 147 kW;Superb;1047990;Německo;28800;2021;Automat;147;Diesel;1;0;0;1;0;0;0;0
Skoda Karoq 1.5 TSI ACT DSG 110 kW;Karoq;764990;Francie;500;2021;Automat;110;Benzín;1;1;0;0;0;0;0;0
Skoda Scala Ambition 110 kW;Scala;726990;Německo;6000;2021;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG 140 kW;Kodiaq;1035490;Německo;26525;2020;Automat;140;Benzín;1;1;0;0;0;0;0;0
Skoda Kodiaq 2.0 4x4 DSG RS 176 kW;Kodiaq;1293990;Německo;23064;2020;Automat;176;Diesel;1;0;0;1;0;0;0;0
Skoda Karoq 1.5 TSI ACT DSG 110 kW;Karoq;765490;Německo;25319;2021;Automat;110;Benzín;1;1;0;0;0;0;0;0
Skoda Octavia 1.6 TDI Green Tec Ambition 85 kW;Octavia;393990;Německo;109000;2018;Manuál;85;Diesel;0;0;0;1;0;0;0;0
Skoda Yeti 1.4 TSI 90 kW;Yeti;343490;Německo;99550;2015;Manuál;90;Benzín;0;1;0;0;0;0;0;0
Skoda Karoq 1.5 TSI ACT DSG 110 kW;Karoq;685490;Slovensko;20000;2021;Automat;110;Benzín;1;1;0;0;0;0;0;0
Skoda Karoq 1.5 TSI ACT DSG 110 kW;Karoq;688990;Francie;14440;2020;Automat;110;Benzín;1;1;0;0;0;0;0;0
Skoda Kodiaq 2.0 TDI DSG 110 kW;Kodiaq;660990;Francie;53540;2018;Automat;110;Diesel;1;0;0;1;0;0;0;0
Skoda Enyaq iV 60 132 kW;Enyaq iV;967490;Francie;7000;2021;Automat;132;Elektřina;1;0;0;0;1;0;0;0
Skoda Karoq 1.5 TSI ACT DSG 110 kW;Karoq;765490;Německo;16900;2021;Automat;110;Benzín;1;1;0;0;0;0;0;0
Skoda Karoq 1.5 TSI ACT DSG Style 110 kW;Karoq;778490;Německo;11000;2021;Automat;110;Benzín;1;1;0;0;0;0;0;0
Skoda Yeti 1.4 TSI 92 kW;Yeti;407990;Německo;65090;2017;Manuál;92;Benzín;0;1;0;0;0;0;0;0
Skoda Superb 147 kW;Superb;962990;Švédsko;19800;2021;Automat;147;Diesel;1;0;0;1;0;0;0;0
Skoda Octavia 110 kW;Octavia;488990;Španělsko;33474;2020;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Scala 110 kW;Scala;649990;Německo;11500;2020;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Kodiaq 147 kW;Kodiaq;1061990;Německo;22350;2021;Automat;147;Diesel;1;0;0;1;0;0;0;0
Skoda Fabia 1.4 TDI 77 kW;Fabia;233990;Polsko;95105;2016;Manuál;77;Diesel;0;0;0;1;0;0;0;0
Skoda Karoq 1.6 TDI SCR 85 kW;Karoq;485990;Francie;53670;2017;Manuál;85;Diesel;0;0;0;1;0;0;0;0
Skoda Scala 110 kW;Scala;725490;Německo;16503;2021;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG Style 140 kW;Kodiaq;963990;Německo;26268;2020;Automat;140;Benzín;1;1;0;0;0;0;0;0
Skoda Karoq 1.6 TDI SCR DSG 85 kW;Karoq;599990;Francie;23517;2019;Automat;85;Diesel;1;0;0;1;0;0;0;0
Skoda Kodiaq 2.0 TDI DSG 110 kW;Kodiaq;675990;Francie;41804;2018;Automat;110;Diesel;1;0;0;1;0;0;0;0
Skoda Karoq 1.5 TSI ACT DSG Ambition 110 kW;Karoq;637990;Francie;8939;2020;Automat;110;Benzín;1;1;0;0;0;0;0;0
Skoda Scala 1.0 TSI DSG Active 85 kW;Scala;440990;Slovensko;17098;2020;Automat;85;Benzín;1;1;0;0;0;0;0;0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG Ambition 140 kW;Kodiaq;1002490;Německo;10714;2021;Automat;140;Benzín;1;1;0;0;0;0;0;0
Skoda Yeti 1.8 TSI DSG 4x4 Ambition 112 kW;Yeti;238990;Německo;111870;2013;Automat;112;Benzín;1;1;0;0;0;0;0;0
Skoda Scala 110 kW;Scala;713490;Německo;25170;2021;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Scala 110 kW;Scala;742490;Německo;8500;2021;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Fabia 1.0 TSI 70 kW;Fabia;265490;Polsko;98977;2018;Manuál;70;Benzín;0;1;0;0;0;0;0;0
Skoda Superb 147 kW;Superb;1164990;Německo;18261;2021;Automat;147;Diesel;1;0;0;1;0;0;0;0
Skoda Scala 110 kW;Scala;668990;Německo;15900;2021;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Enyaq iV 80 150 kW;Enyaq iV;1233490;Francie;1000;2021;Automat;150;Elektřina;1;0;0;0;1;0;0;0
Skoda Kodiaq 147 kW;Kodiaq;1097990;Německo;27990;2021;Automat;147;Diesel;1;0;0;1;0;0;0;0
Skoda Scala 110 kW;Scala;693490;Německo;15443;2021;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Superb 1.6 TDI Green Tec Ambition 90 kW;Superb;473490;Německo;71436;2017;Manuál;90;Diesel;0;0;0;1;0;0;0;0
Skoda Rapid 70 kW;Rapid;271490;Německo;65669;2017;Manuál;70;Benzín;0;1;0;0;0;0;0;0
Skoda Superb Combi 2.0 TDI Green Tec Business Edition 110 kW;Superb;737490;Francie;19364;2021;Automat;110;Diesel;1;0;0;1;0;0;0;0
Skoda Kodiaq Style 147 kW;Kodiaq;1267990;Německo;500;2021;Automat;147;Diesel;1;0;0;1;0;0;0;0
Skoda Fabia 1.0 TSI 70 kW;Fabia;409990;Francie;13268;2021;Automat;70;Benzín;1;1;0;0;0;0;0;0
Skoda Rapid 1.0 TSI Style 81 kW;Rapid;318490;Německo;117100;2018;Manuál;81;Benzín;0;1;0;0;0;0;0;0
Skoda Kodiaq 147 kW;Kodiaq;1267990;Německo;500;2021;Automat;147;Diesel;1;0;0;1;0;0;0;0
Skoda Kodiaq 147 kW;Kodiaq;1084490;Německo;27900;2021;Automat;147;Diesel;1;0;0;1;0;0;0;0
Skoda Kodiaq 147 kW;Kodiaq;1165490;Německo;250;2021;Automat;147;Diesel;1;0;0;1;0;0;0;0
Skoda Superb 147 kW;Superb;1087490;Německo;27475;2021;Automat;147;Diesel;1;0;0;1;0;0;0;0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG Ambition 140 kW;Kodiaq;996490;Německo;20740;2021;Automat;140;Benzín;1;1;0;0;0;0;0;0
Skoda Fabia 1.2 TSI 66 kW;Fabia;181490;Polsko;97570;2016;Manuál;66;Benzín;0;1;0;0;0;0;0;0
Skoda Karoq 1.5 TSI ACT DSG 110 kW;Karoq;829990;Německo;14800;2021;Automat;110;Benzín;1;1;0;0;0;0;0;0
Skoda Karoq 2.0 TDI SCR 4x4 DSG Style 110 kW;Karoq;932490;Německo;5056;2021;Automat;110;Diesel;1;0;0;1;0;0;0;0
Skoda Kodiaq 180 kW;Kodiaq;1255490;Německo;5500;2021;Automat;180;Benzín;1;1;0;0;0;0;0;0
Skoda Octavia 110 kW;Octavia;488990;Španělsko;33474;2020;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Karoq 1.0 TSI Ambition 85 kW;Karoq;460990;Francie;60485;2018;Manuál;85;Benzín;0;1;0;0;0;0;0;0
Skoda Rapid 81 kW;Rapid;244990;Polsko;121616;2017;Manuál;81;Benzín;0;1;0;0;0;0;0;0
Skoda Rapid 63 kW;Rapid;238990;Německo;112000;2015;Manuál;63;Benzín;0;1;0;0;0;0;0;0
Skoda Kodiaq 2.0 TDI DSG 110 kW;Kodiaq;777490;Francie;22868;2019;Automat;110;Diesel;1;0;0;1;0;0;0;0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG 140 kW;Kodiaq;1035490;Německo;26590;2021;Automat;140;Benzín;1;1;0;0;0;0;0;0
Skoda Rapid 1.0 TSI Active 70 kW;Rapid;271490;Německo;57500;2019;Manuál;70;Benzín;0;1;0;0;0;0;0;0
Skoda Enyaq iV 60 132 kW;Enyaq iV;952490;Francie;1000;2021;Automat;132;Elektřina;1;0;0;0;1;0;0;0
Skoda Scala 110 kW;Scala;657490;Německo;5000;2021;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Octavia 2.0 TDI 4x4 110 kW;Octavia;360490;Francie;109155;2018;Manuál;110;Diesel;0;0;0;1;0;0;0;0
Skoda Octavia 2.0 TDI DSG RS 135 kW;Octavia;520990;Německo;97000;2017;Automat;135;Diesel;1;0;0;1;0;0;0;0
Skoda Fabia 81 kW;Fabia;469490;Německo;14900;2021;Manuál;81;Benzín;0;1;0;0;0;0;0;0
Skoda Scala 110 kW;Scala;714490;Německo;14000;2021;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Rapid 1.0 TSI Green Tec Drive 82 kW;Rapid;292490;Švédsko;71000;2018;Manuál;82;Benzín;0;1;0;0;0;0;0;0
Skoda Superb 140 kW;Superb;659490;Švédsko;70000;2019;Automat;140;Diesel;1;0;0;1;0;0;0;0
Skoda Yeti 1.4 TSI Green Tec Adventure 90 kW;Yeti;372990;Německo;98000;2015;Manuál;90;Benzín;0;1;0;0;0;0;0;0
Skoda Superb 1.5 TSI ACT DSG Ambition 110 kW;Superb;815990;Německo;20900;2021;Automat;110;Benzín;1;1;0;0;0;0;0;0
Skoda Kodiaq 180 kW;Kodiaq;1381490;Lucembursko;5000;2021;Automat;180;Benzín;1;1;0;0;0;0;0;0
Skoda Citigo 1.0 MPI Ambition 44 kW;Citigo;172990;Francie;73073;2017;Manuál;44;Benzín;0;1;0;0;0;0;0;0
Skoda Octavia 1.6 TDI Green Tec 85 kW;Octavia;485990;Francie;64929;2020;Manuál;85;Diesel;0;0;0;1;0;0;0;0
Skoda Superb Combi 2.0 TDI Green Tec Business Edition 110 kW;Superb;787490;Francie;33020;2020;Automat;110;Diesel;1;0;0;1;0;0;0;0
Skoda Kodiaq 147 kW;Kodiaq;1164990;Německo;15206;2021;Automat;147;Diesel;1;0;0;1;0;0;0;0
Skoda Enyaq iV 60 132 kW;Enyaq iV;992990;Francie;3006;2021;Automat;132;Elektřina;1;0;0;0;1;0;0;0
Skoda Kodiaq 2.0 TDI 4x4 DSG Style 140 kW;Kodiaq;1076990;Německo;22000;2020;Automat;140;Diesel;1;0;0;1;0;0;0;0
Skoda Superb 110 kW;Superb;688990;Francie;2424;2020;Automat;110;Diesel;1;0;0;1;0;0;0;0
Skoda Karoq 1.0 TSI Ambition 85 kW;Karoq;467990;Švédsko;55720;2018;Manuál;85;Benzín;0;1;0;0;0;0;0;0
Skoda Yeti 1.2 TSI Active 77 kW;Yeti;262990;Německo;88455;2014;Manuál;77;Benzín;0;1;0;0;0;0;0;0
Skoda Citigo 1.0 MPI 44 kW;Citigo;189990;Francie;47500;2017;Manuál;44;Benzín;0;1;0;0;0;0;0;0
Skoda Scala Ambition 110 kW;Scala;520990;Německo;25800;2020;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Citigo 1.0 MPI 44 kW;Citigo;209490;Německo;61526;2017;Manuál;44;Benzín;0;1;0;0;0;0;0;0
Skoda Scala 110 kW;Scala;673490;Německo;6338;2021;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Scala 110 kW;Scala;533990;Německo;10000;2020;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Scala Style 110 kW;Scala;675490;Německo;7980;2020;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Superb 2.0 TSI 4x4 DSG L&K 200 kW;Superb;963990;Německo;2482;2020;Automat;200;Benzín;1;1;0;0;0;0;0;0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG 140 kW;Kodiaq;984490;Německo;13600;2021;Automat;140;Benzín;1;1;0;0;0;0;0;0
Skoda Scala 1.0 TSI Ambition 70 kW;Scala;463490;Španělsko;11396;2021;Manuál;70;Benzín;0;1;0;0;0;0;0;0
Skoda Kodiaq 2.0 TDI DSG Style 110 kW;Kodiaq;914490;Francie;14832;2021;Automat;110;Diesel;1;0;0;1;0;0;0;0
Skoda Karoq 2.0 TDI SCR 110 kW;Karoq;739990;Německo;38266;2021;Manuál;110;Diesel;0;0;0;1;0;0;0;0
Skoda Superb 206 kW;Superb;745990;Belgie;44200;2018;Automat;206;Benzín;1;1;0;0;0;0;0;0
Skoda Rapid 1.2 TSI 77 kW;Rapid;214490;Německo;77000;2013;Manuál;77;Benzín;0;1;0;0;0;0;0;0
Skoda Kodiaq 147 kW;Kodiaq;996490;Německo;46400;2021;Automat;147;Diesel;1;0;0;1;0;0;0;0
Skoda Superb 2.0 TSI 4x4 DSG L&K 200 kW;Superb;1060990;Německo;21108;2021;Automat;200;Benzín;1;1;0;0;0;0;0;0
Skoda Karoq 1.0 TSI Ambition 85 kW;Karoq;463490;Švédsko;39840;2018;Manuál;85;Benzín;0;1;0;0;0;0;0;0
Skoda Octavia 2.0 TSI DSG Style 140 kW;Octavia;574990;Německo;81150;2019;Automat;140;Benzín;1;1;0;0;0;0;0;0
Skoda Fabia 81 kW;Fabia;407990;Francie;4936;2021;Manuál;81;Benzín;0;1;0;0;0;0;0;0
Skoda Karoq 1.5 TSI ACT DSG Style 110 kW;Karoq;801990;Německo;11359;2021;Automat;110;Benzín;1;1;0;0;0;0;0;0
Skoda Scala 110 kW;Scala;674490;Německo;21460;2021;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Scala 110 kW;Scala;663490;Německo;15300;2020;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Superb 2.0 TDI Tec Ambition 110 kW;Superb;894490;Německo;27269;2021;Automat;110;Diesel;1;0;0;1;0;0;0;0
Skoda Kodiaq 1.5 TSI ACT DSG 110 kW;Kodiaq;956490;Německo;6000;2021;Automat;110;Benzín;1;1;0;0;0;0;0;0
Skoda Karoq 1.0 TSI Ambition 85 kW;Karoq;467990;Švédsko;59310;2018;Manuál;85;Benzín;0;1;0;0;0;0;0;0
Skoda Octavia 2.0 TSI 4x4 DSG Style 140 kW;Octavia;787990;Německo;9331;2020;Automat;140;Benzín;1;1;0;0;0;0;0;0
Skoda Scala 110 kW;Scala;675490;Německo;13200;2020;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Kodiaq 147 kW;Kodiaq;1033490;Německo;28065;2021;Automat;147;Diesel;1;0;0;1;0;0;0;0
Skoda Kodiaq 2.0 4x4 DSG RS 176 kW;Kodiaq;1327990;Belgie;29142;2020;Automat;176;Diesel;1;0;0;1;0;0;0;0
Skoda Kodiaq 180 kW;Kodiaq;1396490;Německo;2000;2021;Automat;180;Benzín;1;1;0;0;0;0;0;0
Skoda Kodiaq 147 kW;Kodiaq;1144990;Německo;4500;2021;Automat;147;Diesel;1;0;0;1;0;0;0;0
Skoda Scala 1.0 TSI 81 kW;Scala;533490;Německo;20715;2021;Manuál;81;Benzín;0;1;0;0;0;0;0;0
Skoda Scala 110 kW;Scala;613990;Německo;18192;2020;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Superb 2.0 TDI Active 110 kW;Superb;407990;Španělsko;126900;2018;Manuál;110;Diesel;0;0;0;1;0;0;0;0
Skoda Superb 147 kW;Superb;1051990;Německo;28990;2021;Automat;147;Diesel;1;0;0;1;0;0;0;0
Skoda Scala Ambition 110 kW;Scala;520990;Německo;15890;2020;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Scala 110 kW;Scala;609990;Německo;6000;2020;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Rapid 1.2 TSI Green Tec Style 82 kW;Rapid;252490;Švédsko;83670;2016;Manuál;82;Benzín;0;1;0;0;0;0;0;0
Skoda Rapid 85 kW;Rapid;258490;Polsko;113345;2017;Manuál;85;Diesel;0;0;0;1;0;0;0;0
Skoda Scala Ambition 110 kW;Scala;513490;Německo;24800;2020;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Scala Style 110 kW;Scala;559990;Německo;23190;2020;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Kodiaq 2.0 4x4 DSG RS 176 kW;Kodiaq;1245990;Německo;31990;2020;Automat;176;Diesel;1;0;0;1;0;0;0;0
Skoda Karoq 2.0 TDI SCR 4x4 DSG Scout 140 kW;Karoq;857490;Německo;24900;2019;Automat;140;Diesel;1;0;0;1;0;0;0;0
Skoda Scala 1.0 TSI DSG 85 kW;Scala;546490;Německo;2500;2020;Automat;85;Benzín;1;1;0;0;0;0;0;0
Skoda Scala 110 kW;Scala;572490;Německo;9999;2021;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG 140 kW;Kodiaq;1022990;Německo;26800;2021;Automat;140;Benzín;1;1;0;0;0;0;0;0
Skoda Rapid 63 kW;Rapid;211990;Německo;85000;2015;Manuál;63;Benzín;0;1;0;0;0;0;0;0
Skoda Rapid 1.2 TSI Tec 77 kW;Rapid;236490;Belgie;95000;2016;Manuál;77;Benzín;0;1;0;0;0;0;0;0
Skoda Kamiq 1.0 TSI Active 70 kW;Kamiq;409990;Francie;10000;2021;Manuál;70;Benzín;0;1;0;0;0;0;0;0
Skoda Kodiaq 2.0 TDI 4x4 DSG Ambition 110 kW;Kodiaq;625990;Itálie;76000;2019;Automat;110;Diesel;1;0;0;1;0;0;0;0
Skoda Citigo 1.0 MPI Tec 44 kW;Citigo;250490;Francie;15347;2019;Manuál;44;Benzín;0;1;0;0;0;0;0;0
Skoda Citigo 1.0 MPI Clever 44 kW;Citigo;226490;Francie;39549;2018;Manuál;44;Benzín;0;1;0;0;0;0;0;0
Skoda Scala 110 kW;Scala;572490;Německo;5000;2020;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Octavia 2.0l TDI DSG 4x4 147 kW;Octavia;1035990;Německo;28000;2021;Automat;147;Diesel;1;0;0;1;0;0;0;0
Skoda Karoq 1.5 TSI ACT 110 kW;Karoq;523990;Francie;62744;2018;Manuál;110;Benzín;0;1;0;0;0;0;0;0
Skoda Karoq 1.5 TSI ACT DSG 110 kW;Karoq;817990;Lucembursko;2000;2021;Automat;110;Benzín;1;1;0;0;0;0;0;0
Skoda Fabia 1.2 TSI Joy 81 kW;Fabia;238490;Německo;111115;2016;Manuál;81;Benzín;0;1;0;0;0;0;0;0
Skoda Kodiaq 2.0 4x4 DSG RS 177 kW;Kodiaq;1264990;Německo;31418;2020;Automat;177;Diesel;1;0;0;1;0;0;0;0
Skoda Fabia 1.0 TSI Tec Style 82 kW;Fabia;380990;Švédsko;38780;2019;Automat;82;Benzín;1;1;0;0;0;0;0;0
Skoda Citigo 1.0 MPI 44 kW;Citigo;197490;Francie;39980;2017;Manuál;44;Benzín;0;1;0;0;0;0;0;0
Skoda Kamiq 1.5 TSI DSG 110 kW;Kamiq;719490;Německo;6000;2021;Automat;110;Benzín;1;1;0;0;0;0;0;0
Skoda Kodiaq 147 kW;Kodiaq;1060990;Německo;25999;2021;Automat;147;Diesel;1;0;0;1;0;0;0;0
Skoda Yeti 2.0 TDI 81 kW;Yeti;275490;Německo;128000;2013;Manuál;81;Diesel;0;0;0;1;0;0;0;0
Skoda Superb 110 kW;Superb;727490;Německo;24425;2020;Manuál;110;Diesel;0;0;0;1;0;0;0;0
