name;model;price;country;mileage;registration;transmission;power;fueltype;Automat;Benzín;Diesel;Elektřina;Hybrid;LPG
Skoda Enyaq iV 60 132 kW;Enyaq iV;986990;Francie;2000;2021;Automat;132;Elektřina;1;0;0;1;0;0
Skoda Scala Style 110 kW;Scala;572490;Německo;30616;2020;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG 140 kW;Kodiaq;1033990;Německo;27600;2021;Automat;140;Benzín;1;1;0;0;0;0
Skoda Rapid 70 kW;Rapid;286990;Polsko;25147;2018;Manuál;70;Benzín;0;1;0;0;0;0
Skoda Scala 110 kW;Scala;572490;Německo;9999;2021;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Octavia 1.2 TSI 63 kW;Octavia;290990;Německo;54000;2017;Manuál;63;Benzín;0;1;0;0;0;0
Skoda Karoq 1.5 TSI ACT DSG 110 kW;Karoq;752490;Německo;25687;2021;Automat;110;Benzín;1;1;0;0;0;0
Skoda Rapid 70 kW;Rapid;271490;Německo;65669;2017;Manuál;70;Benzín;0;1;0;0;0;0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG 140 kW;Kodiaq;970490;Německo;22300;2020;Automat;140;Benzín;1;1;0;0;0;0
Skoda Rapid 70 kW;Rapid;265490;Polsko;64720;2018;Manuál;70;Benzín;0;1;0;0;0;0
Skoda Rapid 66 kW;Rapid;202490;Polsko;140418;2017;Manuál;66;Diesel;0;0;1;0;0;0
Skoda Scala 1.5 TSI DSG Style 110 kW;Scala;542490;Slovensko;25401;2019;Automat;110;Benzín;1;1;0;0;0;0
Skoda Karoq 1.5 TSI ACT DSG 110 kW;Karoq;685490;Slovensko;20000;2021;Automat;110;Benzín;1;1;0;0;0;0
Skoda Scala 110 kW;Scala;685990;Německo;19900;2020;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Superb 147 kW;Superb;1164990;Německo;1679;2021;Automat;147;Diesel;1;0;1;0;0;0
Skoda Yeti 1.2 TSI Ambition 77 kW;Yeti;213490;Německo;106000;2013;Manuál;77;Benzín;0;1;0;0;0;0
Skoda Scala Ambition 110 kW;Scala;506990;Německo;11707;2020;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Enyaq iV 80 150 kW;Enyaq iV;1258990;Francie;5000;2021;Automat;150;Elektřina;1;0;0;1;0;0
Skoda Fabia 1.0 TSI 70 kW;Fabia;372490;Francie;8185;2021;Manuál;70;Benzín;0;1;0;0;0;0
Skoda Yeti 1.2 TSI 77 kW;Yeti;225490;Německo;99900;2013;Manuál;77;Benzín;0;1;0;0;0;0
Skoda Superb 147 kW;Superb;1033990;Německo;22760;2021;Automat;147;Diesel;1;0;1;0;0;0
Skoda Karoq 1.0 TSI Ambition 85 kW;Karoq;467990;Švédsko;59310;2018;Manuál;85;Benzín;0;1;0;0;0;0
Skoda Kodiaq 2.0 4x4 DSG RS 176 kW;Kodiaq;1220990;Německo;22600;2020;Automat;176;Diesel;1;0;1;0;0;0
Skoda Citigo 1.0 MPI 44 kW;Citigo;197490;Francie;39980;2017;Manuál;44;Benzín;0;1;0;0;0;0
Skoda Karoq 1.0 TSI Ambition 85 kW;Karoq;460990;Francie;60485;2018;Manuál;85;Benzín;0;1;0;0;0;0
Skoda Scala 110 kW;Scala;590490;Německo;9800;2020;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Octavia 2.0 TDI DSG Ambition 110 kW;Octavia;829490;Německo;4900;2021;Automat;110;Diesel;1;0;1;0;0;0
Skoda Kodiaq 180 kW;Kodiaq;1255490;Německo;5500;2021;Automat;180;Benzín;1;1;0;0;0;0
Skoda Scala 110 kW;Scala;533990;Německo;10000;2020;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Kodiaq 147 kW;Kodiaq;1072990;Německo;26500;2021;Automat;147;Diesel;1;0;1;0;0;0
Skoda Octavia 2.0 TDI Green Tec Joy 110 kW;Octavia;747490;Itálie;18000;2020;Automat;110;Diesel;1;0;1;0;0;0
Skoda Scala 110 kW;Scala;497990;Polsko;7500;2021;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Kodiaq 147 kW;Kodiaq;1060990;Německo;25999;2021;Automat;147;Diesel;1;0;1;0;0;0
Skoda Scala 1.0 TSI DSG Ambition 81 kW;Scala;509490;Španělsko;12610;2021;Automat;81;Benzín;1;1;0;0;0;0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG 140 kW;Kodiaq;1022990;Německo;26800;2021;Automat;140;Benzín;1;1;0;0;0;0
Skoda Superb 147 kW;Superb;1112490;Německo;29628;2021;Automat;147;Diesel;1;0;1;0;0;0
Skoda Fabia 1.0 TSI Clever 70 kW;Fabia;238490;Francie;73210;2018;Manuál;70;Benzín;0;1;0;0;0;0
Skoda Yeti 2.0 TDI 4x4 Ambition 110 kW;Yeti;422990;Rakousko;117000;2016;Manuál;110;Diesel;0;0;1;0;0;0
Skoda Scala 110 kW;Scala;572490;Německo;5000;2020;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Scala 110 kW;Scala;714490;Německo;18000;2021;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Citigo 1.0 MPI Tec 44 kW;Citigo;250490;Francie;15347;2019;Manuál;44;Benzín;0;1;0;0;0;0
Skoda Yeti 2.0 TDI 81 kW;Yeti;257490;Německo;111271;2013;Manuál;81;Diesel;0;0;1;0;0;0
Skoda Superb Combi 2.0 TDI Green Tec Business Edition 110 kW;Superb;764990;Francie;13850;2021;Automat;110;Diesel;1;0;1;0;0;0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG Ambition 140 kW;Kodiaq;984490;Německo;18598;2021;Automat;140;Benzín;1;1;0;0;0;0
Skoda Fabia 1.0 TSI 70 kW;Fabia;410490;Francie;13786;2021;Automat;70;Benzín;1;1;0;0;0;0
Skoda Kodiaq 147 kW;Kodiaq;1047990;Německo;21900;2021;Automat;147;Diesel;1;0;1;0;0;0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG 140 kW;Kodiaq;971490;Německo;19869;2021;Automat;140;Benzín;1;1;0;0;0;0
Skoda Superb 2.0 TSI DSG Style 162 kW;Superb;673490;Německo;60750;2018;Automat;162;Benzín;1;1;0;0;0;0
Skoda Kodiaq 2.0 TDI DSG 110 kW;Kodiaq;675990;Francie;41804;2018;Automat;110;Diesel;1;0;1;0;0;0
Skoda Kodiaq Style 147 kW;Kodiaq;948490;Švédsko;41000;2021;Automat;147;Diesel;1;0;1;0;0;0
Skoda Superb 110 kW;Superb;479990;Polsko;81162;2018;Automat;110;Benzín;1;1;0;0;0;0
Skoda Octavia 2.0 TDI Green Tec Style 110 kW;Octavia;509490;Itálie;51300;2018;Automat;110;Diesel;1;0;1;0;0;0
Skoda Karoq 1.5 TSI ACT DSG Style 110 kW;Karoq;789990;Francie;20190;2021;Automat;110;Benzín;1;1;0;0;0;0
Skoda Scala 110 kW;Scala;683490;Německo;11000;2021;Manuál;110;Benzín;0;1;0;0;0;0
Skoda Octavia 2.0l TDI DSG 4x4 147 kW;Octavia;1035990;Německo;28000;2021;Automat;147;Diesel;1;0;1;0;0;0
Skoda Citigo 1.0 MPI Active 55 kW;Citigo;141490;Německo;118000;2015;Manuál;55;Benzín;0;1;0;0;0;0
Skoda Kodiaq 147 kW;Kodiaq;1032490;Německo;27600;2021;Automat;147;Diesel;1;0;1;0;0;0
Skoda Superb 147 kW;Superb;1057990;Německo;27122;2021;Automat;147;Diesel;1;0;1;0;0;0
Skoda Karoq 1.6 TDI SCR DSG 85 kW;Karoq;475990;Francie;100777;2019;Automat;85;Diesel;1;0;1;0;0;0
Skoda Yeti 2.0 TDI Green Tec 4x4 Style 110 kW;Yeti;456990;Německo;131500;2017;Automat;110;Diesel;1;0;1;0;0;0
Skoda Karoq 1.5 TSI ACT DSG 110 kW;Karoq;764990;Francie;2000;2021;Automat;110;Benzín;1;1;0;0;0;0
Skoda Rapid 77 kW;Rapid;242990;Polsko;14800;2014;Manuál;77;Benzín;0;1;0;0;0;0
Skoda Superb 2.0 TDI DSG 110 kW;Superb;534490;Francie;46521;2018;Automat;110;Diesel;1;0;1;0;0;0
Skoda Enyaq iV 80 150 kW;Enyaq iV;1175490;Francie;1000;2021;Automat;150;Elektřina;1;0;0;1;0;0
Skoda Fabia 1.0 MPI Cool Edition 44 kW;Fabia;228990;Německo;46700;2016;Manuál;44;Benzín;0;1;0;0;0;0
Skoda Citigo 1.0 MPI Tec 44 kW;Citigo;226490;Francie;21462;2019;Manuál;44;Benzín;0;1;0;0;0;0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG 140 kW;Kodiaq;1005490;Německo;8307;2021;Automat;140;Benzín;1;1;0;0;0;0
Skoda Rapid 81 kW;Rapid;218490;Polsko;151366;2017;Manuál;81;Benzín;0;1;0;0;0;0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG 140 kW;Kodiaq;984490;Německo;13600;2021;Automat;140;Benzín;1;1;0;0;0;0
